CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyOfWebsiteVisits,Churn
92 ,21 ,Other,Los Angeles,Bronze,31 ,296 ,Books,1/4/2023,Teacher,Weekly,1
76 ,56 ,Male,Houston,Silver,52 ,600 ,Sports,10/13/2023,Engineer,Rarely,1
1265 ,64 ,Other,Seattle,Bronze,8 ,498 ,Books,4/10/2023,Retired,Rarely,0
331 ,36 ,Female,Houston,Platinum,95 ,114 ,Books,4/25/2023,Other,Rarely,0
1350 ,18 ,Female,Houston,Bronze,5 ,1066 ,Home Goods,4/23/2023,Retired,Daily,0
775 ,25 ,Male,Seattle,Silver,66 ,2267 ,Electronics,7/16/2023,Student,Monthly,1
1039 ,42 ,Male,New York,Silver,17 ,446 ,Home Goods,8/7/2023,Other,Weekly,1
1286 ,54 ,Male,Los Angeles,Bronze,75 ,152 ,Books,3/17/2023,Artist,Rarely,1
1166 ,48 ,Female,Seattle,Silver,63 ,1277 ,Clothing,5/7/2023,Doctor,Daily,0
336 ,59 ,Other,Houston,Silver,16 ,373 ,Toys,10/26/2023,Salesperson,Daily,1
686 ,22 ,Other,Chicago,Silver,73 ,1250 ,Home Goods,6/21/2023,Student,Weekly,1
182 ,21 ,Female,New York,Silver,42 ,4003 ,Electronics,5/5/2023,Student,Daily,0
1221 ,19 ,Other,New York,Bronze,21 ,281 ,Books,3/2/2023,Retired,Rarely,1
102 ,31 ,Other,Seattle,Silver,69 ,380 ,Toys,6/23/2023,Retired,Weekly,0
693 ,29 ,Female,New York,Gold,95 ,1476 ,Home Goods,9/26/2023,Doctor,Weekly,1
1127 ,27 ,Female,Los Angeles,Platinum,71 ,332 ,Books,2/17/2023,Retired,Rarely,0
170 ,48 ,Other,Miami,Platinum,92 ,956 ,Toys,12/31/2023,Teacher,Weekly,1
927 ,62 ,Male,Chicago,Bronze,62 ,124 ,Books,2/20/2023,Retired,Rarely,1
1296 ,53 ,Male,Houston,Bronze,28 ,591 ,Sports,4/25/2023,Student,Rarely,0
415 ,41 ,Other,Miami,Platinum,71 ,395 ,Sports,2/28/2023,Salesperson,Weekly,0
1411 ,48 ,Male,Houston,Silver,90 ,758 ,Sports,8/18/2023,Artist,Monthly,1
1280 ,52 ,Female,New York,Platinum,7 ,3089 ,Electronics,5/22/2023,Student,Weekly,1
1465 ,51 ,Male,Houston,Gold,32 ,1231 ,Clothing,12/19/2023,Doctor,Monthly,0
809 ,,Male,Los Angeles,Platinum,,,,1/1/2023,Doctor,Weekly,0
103 ,39 ,Female,Houston,Gold,75 ,1429 ,Sports,2/28/2023,Engineer,Rarely,0
1400 ,44 ,Other,Seattle,Platinum,30 ,470 ,Books,11/5/2023,Student,Weekly,1
1244 ,55 ,Other,Houston,Gold,30 ,846 ,Clothing,6/9/2023,Other,Daily,1
923 ,53 ,Other,Miami,Gold,5 ,766 ,Sports,8/26/2023,Engineer,Daily,1
1298 ,58 ,Male,New York,Bronze,90 ,868 ,Toys,7/29/2023,Engineer,Rarely,0
762 ,59 ,Female,Los Angeles,Bronze,34 ,253 ,Clothing,8/16/2023,Student,Rarely,0
1159 ,56 ,Other,Seattle,Bronze,27 ,1972 ,Electronics,4/24/2023,Doctor,Rarely,1
293 ,19 ,Other,New York,Bronze,7 ,375 ,Books,10/9/2023,Teacher,Rarely,0
1337 ,47 ,Other,Miami,Platinum,87 ,61 ,Books,8/19/2023,Teacher,Daily,0
1200 ,34 ,Other,Seattle,Bronze,32 ,632 ,Electronics,8/22/2023,Artist,Weekly,1
232 ,56 ,Other,Houston,Bronze,25 ,140 ,Books,10/18/2023,Salesperson,Daily,1
1038 ,53 ,Female,Los Angeles,Platinum,4 ,98 ,Books,10/28/2023,Engineer,Monthly,0
1142 ,,Female,Los Angeles,Silver,,,,6/4/2023,Other,Daily,1
38 ,53 ,Female,Los Angeles,Platinum,4 ,98 ,Books,10/28/2023,Engineer,Monthly,0
54 ,53 ,Female,Los Angeles,Silver,92 ,774 ,Toys,8/6/2023,Engineer,Daily,1
1010 ,68 ,Female,Seattle,Platinum,57 ,849 ,Home Goods,11/16/2023,Engineer,Daily,0
926 ,27 ,Female,Seattle,Gold,64 ,1249 ,Clothing,4/2/2023,Doctor,Daily,0
562 ,23 ,Female,Chicago,Gold,89 ,890 ,Sports,12/30/2023,Artist,Weekly,1
680 ,44 ,Other,Los Angeles,Platinum,62 ,1001 ,Sports,9/27/2023,Other,Daily,1
590 ,22 ,Other,Houston,Silver,44 ,2474 ,Home Goods,7/31/2023,Salesperson,Monthly,0
895 ,29 ,Male,Los Angeles,Silver,33 ,1482 ,Sports,4/14/2023,Engineer,Daily,0
